'UID', 'Smelly Rules', 'Clean?'
'b0f6a5fe-fe52-4bba-9ea7-c1101aeff2c2', [],Yes
'dd830856-88e0-41e4-a28a-8374340a4db8', [],Yes
'35f8a7f0-bfca-4bfe-b981-fa8631f5f71e', [],Yes
'4d3578d7-9e7c-4707-98ab-b10be568ec3f', [],Yes
'd1261cf6-f3c1-47a5-9fe2-eddfdbc1cad0', [],Yes
'702deeba-70ce-43f1-a428-c08a75ab02c3', '[8]'
'53bf1fab-8133-4360-a45c-09ad35db2dc8', '[8]'
'6986dcbb-d3ef-41a6-90cf-a1022d425cae', '[8]'
'c832d7b8-0d13-456b-8004-f4d9449a9189', '[8]'
'e64613ac-4493-4de0-81da-7cf04e60f715', '[8]'
'50b1c84d-2035-479d-8970-286de616d501', '[9]'
'd1ad3806-1e0a-4145-a7f9-92983753a2d3', '[9]'
'697b0f96-e5b8-4a48-974d-185052046a50', '[9]'
'03aa9384-023e-4cd3-b8f7-2d85a9007d4e', '[9]'
'41b53541-05d7-44e7-8fee-22a09df10561', '[9]'
'9a84ab71-fa3d-4599-8ef2-2d21f2515624', '[10]'
'9ceebe1e-3479-4d7a-864f-7ff8dc67c5dc', '[10]'
'f8a36ff9-f121-4f30-b951-dadd41f080f0', '[10]'
'a38d5483-b883-4411-b496-224e383c4217', '[10]'
'83abc042-b5ce-40c7-b1f6-909edb007319', '[10]'
'833d4bd0-b556-4a1c-a626-e48004f5c872', '[8]'
